"x"
"current"
"letter"
"grade"
"grade"
"pending"
"card"
"posted"
"thawing"
"procedure"
"improper"
"live"
"roaches"
"facility's"
"food"
"non"
"food"
"area"
"food"
"supplies"
"equipment"
"protected"
"potential"
"source"
"contamination"
"storage"
"preparation"
"transportation"
"display"
"service"
"customer’s"
"refillable"
"reusable"
"container"
"condiments"
"single"
"service"
"containers"
"dispensed"
"directly"
"vendor"
"evidence"
"rats"
"live"
"rats"
"establishment's"
"food"
"non"
"food"
"areas"
"hot"
"tcs"
"food"
"item"
"held"
"140"
"f"
"evidence"
"mice"
"live"
"mice"
"establishment's"
"food"
"non"
"food"
"areas"
"non"
"food"
"contact"
"surface"
"improperly"
"constructed"
"unacceptable"
"material"
"used"
"non"
"food"
"contact"
"surface"
"equipment"
"improperly"
"maintained"
"properly"
"sealed"
"raised"
"spaced"
"movable"
"allow"
"accessibility"
"cleaning"
"sides"
"underneath"
"unit"
"non"
"food"
"contact"
"surface"
"improperly"
"constructed"
"unacceptable"
"material"
"used"
"non"
"food"
"contact"
"surface"
"equipment"
"improperly"
"maintained"
"properly"
"sealed"
"raised"
"spaced"
"movable"
"allow"
"accessibility"
"cleaning"
"sides"
"underneath"
"unit"
"food"
"contact"
"surface"
"properly"
"washed"
"rinsed"
"sanitized"
"use"
"following"
"activity"
"contamination"
"may"
"occurred"
"cold"
"food"
"item"
"held"
"41º"
"f"
"smoked"
"fish"
"reduced"
"oxygen"
"packaged"
"foods"
"38"
"ºf"
"except"
"necessary"
"preparation"
"facility"
"vermin"
"proof"
"harborage"
"conditions"
"conducive"
"attracting"
"vermin"
"premises"
"allowing"
"vermin"
"exist"
"live"
"roaches"
"facility's"
"food"
"non"
"food"
"area"
"hot"
"food"
"item"
"held"
"140º"
"f"
"cold"
"food"
"item"
"held"
"41º"
"f"
"smoked"
"fish"
"reduced"
"oxygen"
"packaged"
"foods"
"38"
"ºf"
"except"
"necessary"
"preparation"
"evidence"
"mice"
"live"
"mice"
"establishment's"
"food"
"non"
"food"
"areas"
"live"
"roaches"
"present"
"facility's"
"food"
"non"
"food"
"areas"
"establishment"
"free"
"harborage"
"conditions"
"conducive"
"rodents"
"insects"
"pests"
"plumbing"
"properly"
"installed"
"maintained"
"anti"
"siphonage"
"backflow"
"prevention"
"device"
"provided"
"required"
"equipment"
"floor"
"properly"
"drained"
"sewage"
"disposal"
"system"
"disrepair"
"functioning"
"properly"
"filth"
"flies"
"food"
"refuse"
"sewage"
"associated"
"frsa"
"flies"
"nuisance"
"pests"
"establishment’s"
"food"
"non"
"food"
"areas"
"frsa"
"flies"
"include"
"house"
"flies"
"blow"
"flies"
"bottle"
"flies"
"flesh"
"flies"
"drain"
"flies"
"phorid"
"flies"
"fruit"
"flies"
"evidence"
"rats"
"live"
"rats"
"establishment's"
"food"
"non"
"food"
"areas"
"evidence"
"mice"
"live"
"mice"
"establishment's"
"food"
"non"
